company_id,calendar_year,reporting_currency,fiscal_year_weight,next_fiscal_year_weight,eps,eps_usd,fcf_per_share,fcf_per_share_usd,usd_per_reporting_currency,eps_usd_method,fcf_per_share_usd_method,pe,ev_to_fcf,net_leverage,calculation_quality,tail_imputed,missing_input_count,earnings_basis,valuation_date,forecast_source_date
asm-international,2028,EUR,1,0,37.19,43.1962,30.9706,35.9723,1.1615,official-fx,official-fx,20.73,22.69,-1.36,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
stmicroelectronics,2027,USD,1,0,2.581,2.581,2.5703,2.5703,1,reported-usd,reported-usd,19.55,18.17,-0.72,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
stmicroelectronics,2028,USD,1,0,3.731,3.731,3.9962,3.9962,1,reported-usd,reported-usd,13.53,11.04,-1,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
credo,2027,USD,0.331507,0.668493,6.4572,6.4572,7.6287,7.6287,1,reported-usd,reported-usd,25.79,20.01,-1.4,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
credo,2028,USD,0.327869,0.672131,9.0707,9.0707,10.7394,10.7394,1,reported-usd,reported-usd,18.36,13.23,-1.78,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
cerebras,2027,USD,1,0,1.097,1.097,-7.779,-7.779,1,reported-usd,reported-usd,191.48,,-2.16,direct,0,0,published-consensus-eps,2026-09-04,2026-09-08
cerebras,2028,USD,1,0,7.971,7.971,12.9986,12.9986,1,reported-usd,reported-usd,26.35,14.5,-1.41,direct,0,0,published-consensus-eps,2026-09-04,2026-09-08
gigadevice,2027,CNY,1,0,17.95,2.6715,7.9545,1.1839,0.148830117116,official-fx,official-fx,21.66,42.01,-3.57,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
gigadevice,2028,CNY,1,0,16.95,2.5227,10.927,1.6263,0.148830117116,official-fx,official-fx,22.94,28.4,-4.56,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
metax,2027,CNY,1,0,2.034,0.3027,0.0027,0.0004,0.148830117116,official-fx,official-fx,330.74,246282.64,-8.15,direct,0,0,mixed-or-net-income,2026-09-03,2026-09-03
metax,2028,CNY,1,0,4.371,0.6505,4.6713,0.6952,0.148830117116,official-fx,official-fx,153.91,140.7,-5.12,direct,0,0,mixed-or-net-income,2026-09-03,2026-09-03
microchip,2027,USD,0.246575,0.753425,2.9221,2.9221,4.0004,4.0004,1,reported-usd,reported-usd,24.44,19.48,1.12,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
microchip,2028,USD,0.248634,0.751366,3.737,3.737,4.3732,4.3732,1,reported-usd,reported-usd,19.11,17.22,0.62,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
