company_id,fiscal_year,fiscal_period,reporting_currency,net_income,income_scale,ebitda,fcf,fcf_scale,net_debt,net_debt_scale,diluted_shares_thousands,source_eps,share_source_method,source_url,source_retrieved_at
sandisk,2024,July,USD,-672,Million,,,Million,,Million,,-4.667,published diluted share count,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/,2026-09-03
sandisk,2025,July,USD,-1641,Million,852,-120,Million,368,Million,145299,-11.32,published diluted share count,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/,2026-09-03
sandisk,2026,July,USD,11433,Million,12849,11494,Million,-4762,Million,148090,73.76,published diluted share count,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/,2026-09-03
sandisk,2027,July,USD,33403,Million,39402,29875,Million,-34871,Million,146419,218.4,published diluted share count,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/,2026-09-03
sandisk,2028,July,USD,38398,Million,45477,37548,Million,-69456,Million,146419,271.3,published diluted share count,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/,2026-09-03
sandisk,2029,July,USD,37022,Million,40840,35968,Million,-87939,Million,146419,281.7,published diluted share count,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/,2026-09-03
mediatek,2024,December,TWD,106387,Million,123348,142268,Million,-213413,Million,1593894,66.92,published diluted share count,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/,2026-09-03
mediatek,2025,December,TWD,105319,Million,126444,147734,Million,-244871,Million,1596135,66.16,published diluted share count,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/,2026-09-03
mediatek,2026,December,TWD,109174,Million,131745,93095,Million,-195615,Million,1596101,68.64,published diluted share count,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/,2026-09-03
mediatek,2027,December,TWD,232995,Million,285821,168861,Million,-280659,Million,1596101,144.5,published diluted share count,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/,2026-09-03
mediatek,2028,December,TWD,435590,Million,518566,314273,Million,-454278,Million,1596101,277.4,published diluted share count,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/,2026-09-03
marvell,2024,January,USD,-933.4,Million,1898,1034,Million,3215,Million,864500,-1.08,published diluted share count,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/,2026-09-03
marvell,2025,January,USD,-885,Million,1969,1397,Million,3116,Million,865300,-1.02,published diluted share count,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/,2026-09-03
marvell,2026,January,USD,2670,Million,3240,1396,Million,1832,Million,848100,3.07,published diluted share count,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/,2026-09-03
marvell,2027,January,USD,1619,Million,4526,2697,Million,-114,Million,876927,1.773,published diluted share count,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/,2026-09-03
marvell,2028,January,USD,4064,Million,7042,4997,Million,-4850,Million,876927,4.549,published diluted share count,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/,2026-09-03
marvell,2029,January,USD,7021,Million,10469,7162,Million,-9837,Million,876927,7.975,published diluted share count,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/,2026-09-03
qualcomm,2024,September,USD,10142,Million,15026,11161,Million,1334,Million,1114000,8.97,published diluted share count,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/,2026-09-03
qualcomm,2025,September,USD,5541,Million,17055,12820,Million,4656,Million,1073507,5.01,published diluted share count,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/,2026-09-03
qualcomm,2026,September,USD,13754,Million,14891,10418,Million,5117,Million,1068060,12.46,published diluted share count,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/,2026-09-03
qualcomm,2027,September,USD,7514,Million,14490,10537,Million,7800,Million,1068060,7.01,published diluted share count,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/,2026-09-03
qualcomm,2028,September,USD,10545,Million,17074,12204,Million,7427,Million,1068060,10.37,published diluted share count,https://www.marketscreener.com/quote/stock/QUALCOMM-INCORPORATED-4897/finances/,2026-09-03
analog-devices,2024,November,USD,1635,Million,4216,3122,Million,5219,Million,496493,3.28,published diluted share count,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/,2026-09-03
analog-devices,2025,November,USD,2267,Million,6621,4279,Million,4939,Million,491955,4.56,published diluted share count,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/,2026-09-03
analog-devices,2026,November,USD,4827,Million,8852,5298,Million,6364,Million,484565,9.897,published diluted share count,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/,2026-09-03
analog-devices,2027,November,USD,6469,Million,10592,7153,Million,4008,Million,484565,13.58,published diluted share count,https://www.marketscreener.com/quote/stock/ANALOG-DEVICES-INC-10345717/finances/,2026-09-03
